gene,MitoPathways,Symbol,GeneSymbol,Gene Symbol,Pathways
HAPLN2,,HAPLN2,HAPLN2,HAPLN2,
TRMT11,,TRMT11,TRMT11,TRMT11,
HPSE2,,HPSE2,HPSE2,HPSE2,
ALX4,,ALX4,ALX4,ALX4,
RINT1,,RINT1,RINT1,RINT1,
KCNK15,,KCNK15,KCNK15,KCNK15,
ATG101,,ATG101,ATG101,ATG101,
PROK2,,PROK2,PROK2,PROK2,
ZFAND3,,ZFAND3,ZFAND3,ZFAND3,
BCAN,,BCAN,BCAN,BCAN,
PKNOX2,,PKNOX2,PKNOX2,PKNOX2,
VIPAS39,,VIPAS39,VIPAS39,VIPAS39,
PIEZO2,,PIEZO2,PIEZO2,PIEZO2,
GPATCH3,,GPATCH3,GPATCH3,GPATCH3,
ELMO2,,ELMO2,ELMO2,ELMO2,
GALNT11,,GALNT11,GALNT11,GALNT11,
TNN,,TNN,TNN,TNN,
ZNF335,,ZNF335,ZNF335,ZNF335,
ZNF667,,ZNF667,ZNF667,ZNF667,
GPSM3,,GPSM3,GPSM3,GPSM3,
DMRTC2,,DMRTC2,DMRTC2,DMRTC2,
DMRTB1,,DMRTB1,DMRTB1,DMRTB1,
DMRTA2,,DMRTA2,DMRTA2,DMRTA2,
PRDM16,,PRDM16,PRDM16,PRDM16,
PRDM14,,PRDM14,PRDM14,PRDM14,
TSPYL2,,TSPYL2,TSPYL2,TSPYL2,
PERP,,PERP,PERP,PERP,
MMP27,,MMP27,MMP27,MMP27,
CDH23,,CDH23,CDH23,CDH23,
SLC28A3,,SLC28A3,SLC28A3,SLC28A3,
SNX16,,SNX16,SNX16,SNX16,
SMOC2,,SMOC2,SMOC2,SMOC2,
GFRA4,,GFRA4,GFRA4,GFRA4,
EPB41L4A,,EPB41L4A,EPB41L4A,EPB41L4A,
PARVG,,PARVG,PARVG,PARVG,
TNMD,,TNMD,TNMD,TNMD,
CENPK,,CENPK,CENPK,CENPK,
NPFFR1,,NPFFR1,NPFFR1,NPFFR1,
RTP4,,RTP4,RTP4,RTP4,
MOAP1,,MOAP1,MOAP1,MOAP1,
VSIR,,VSIR,VSIR,VSIR,
SLC39A8,,SLC39A8,SLC39A8,SLC39A8,
ADGRL4,,ADGRL4,ADGRL4,ADGRL4,
XYLT1,,XYLT1,XYLT1,XYLT1,
XYLT2,,XYLT2,XYLT2,XYLT2,
RBSN,,RBSN,RBSN,RBSN,
EDDM3B,,EDDM3B,EDDM3B,EDDM3B,
LHX5,,LHX5,LHX5,LHX5,
SEMA4A,,SEMA4A,SEMA4A,SEMA4A,
ROBO3,,ROBO3,ROBO3,ROBO3,
HERPUD2,,HERPUD2,HERPUD2,HERPUD2,
ATL2,,ATL2,ATL2,ATL2,
MS4A6A,,MS4A6A,MS4A6A,MS4A6A,
MS4A5,,MS4A5,MS4A5,MS4A5,
NOC3L,,NOC3L,NOC3L,NOC3L,
LMBR1,,LMBR1,LMBR1,LMBR1,
XPO4,,XPO4,XPO4,XPO4,
HS1BP3,,HS1BP3,HS1BP3,HS1BP3,
AZI2,,AZI2,AZI2,AZI2,
IKZF4,,IKZF4,IKZF4,IKZF4,
CHST8,,CHST8,CHST8,CHST8,
MMP25,,MMP25,MMP25,MMP25,
GREM2,,GREM2,GREM2,GREM2,
HHIP,,HHIP,HHIP,HHIP,
AKTIP,,AKTIP,AKTIP,AKTIP,
CDH24,,CDH24,CDH24,CDH24,
CDH22,,CDH22,CDH22,CDH22,
GALNT17,,GALNT17,GALNT17,GALNT17,
SUSD1,,SUSD1,SUSD1,SUSD1,
DCLRE1C,,DCLRE1C,DCLRE1C,DCLRE1C,
ATG3,,ATG3,ATG3,ATG3,
POLR1E,,POLR1E,POLR1E,POLR1E,
CSMD1,,CSMD1,CSMD1,CSMD1,
NDST4,,NDST4,NDST4,NDST4,
CLEC7A,,CLEC7A,CLEC7A,CLEC7A,
GPR135,,GPR135,GPR135,GPR135,
MOSPD3,,MOSPD3,MOSPD3,MOSPD3,
PLA2G2F,,PLA2G2F,PLA2G2F,PLA2G2F,
VPS16,,VPS16,VPS16,VPS16,
ANAPC1,,ANAPC1,ANAPC1,ANAPC1,
GORASP1,,GORASP1,GORASP1,GORASP1,
COPS7B,,COPS7B,COPS7B,COPS7B,
HS3ST6,,HS3ST6,HS3ST6,HS3ST6,
PLPPR2,,PLPPR2,PLPPR2,PLPPR2,
SMYD3,,SMYD3,SMYD3,SMYD3,
PARP12,,PARP12,PARP12,PARP12,
ZNF574,,ZNF574,ZNF574,ZNF574,
S100PBP,,S100PBP,S100PBP,S100PBP,
MEAF6,,MEAF6,MEAF6,MEAF6,
PCED1A,,PCED1A,PCED1A,PCED1A,
C11ORF1,,C11ORF1,C11ORF1,C11ORF1,
RMND5B,,RMND5B,RMND5B,RMND5B,
FNDC3B,,FNDC3B,FNDC3B,FNDC3B,
GINS3,,GINS3,GINS3,GINS3,
TBC1D15,,TBC1D15,TBC1D15,TBC1D15,
RMND5A,,RMND5A,RMND5A,RMND5A,
IQCH,,IQCH,IQCH,IQCH,
IL25,,IL25,IL25,IL25,
FNDC4,,FNDC4,FNDC4,FNDC4,
PORCN,,PORCN,PORCN,PORCN,
GNPNAT1,,GNPNAT1,GNPNAT1,GNPNAT1,
ISL2,,ISL2,ISL2,ISL2,
SLC13A3,,SLC13A3,SLC13A3,SLC13A3,
PLEKHG2,,PLEKHG2,PLEKHG2,PLEKHG2,
ARMCX5,,ARMCX5,ARMCX5,ARMCX5,
METTL4,Mitochondrial central dogma > mtDNA maintenance > mtDNA modifications,METTL4,METTL4,METTL4,Mitochondrial central dogma > mtDNA maintenance > mtDNA modifications
RFX7,,RFX7,RFX7,RFX7,
RANBP17,,RANBP17,RANBP17,RANBP17,
BCL11B,,BCL11B,BCL11B,BCL11B,
RASAL3,,RASAL3,RASAL3,RASAL3,
CENPH,,CENPH,CENPH,CENPH,
GPBP1,,GPBP1,GPBP1,GPBP1,
NOL6,,NOL6,NOL6,NOL6,
UPF3B,,UPF3B,UPF3B,UPF3B,
UPF3A,,UPF3A,UPF3A,UPF3A,
RSRC2,,RSRC2,RSRC2,RSRC2,
INTS3,,INTS3,INTS3,INTS3,
PCDH15,,PCDH15,PCDH15,PCDH15,
SPATS2,,SPATS2,SPATS2,SPATS2,
MPPE1,,MPPE1,MPPE1,MPPE1,
UBE2Z,,UBE2Z,UBE2Z,UBE2Z,
PHACTR4,,PHACTR4,PHACTR4,PHACTR4,
BRD9,,BRD9,BRD9,BRD9,
CAPRIN2,,CAPRIN2,CAPRIN2,CAPRIN2,
ZSCAN18,,ZSCAN18,ZSCAN18,ZSCAN18,
KCTD14,,KCTD14,KCTD14,KCTD14,
DLK2,,DLK2,DLK2,DLK2,
MTMR9,,MTMR9,MTMR9,MTMR9,
CRELD1,,CRELD1,CRELD1,CRELD1,
OTUB2,,OTUB2,OTUB2,OTUB2,
PCYOX1L,,PCYOX1L,PCYOX1L,PCYOX1L,
YIPF2,,YIPF2,YIPF2,YIPF2,
PRR14,,PRR14,PRR14,PRR14,
CYREN,,CYREN,CYREN,CYREN,
AUNIP,,AUNIP,AUNIP,AUNIP,
MIS12,,MIS12,MIS12,MIS12,
GGCT,,GGCT,GGCT,GGCT,
PDCL3,,PDCL3,PDCL3,PDCL3,
KCTD15,,KCTD15,KCTD15,KCTD15,
ALG8,,ALG8,ALG8,ALG8,
PRRG4,,PRRG4,PRRG4,PRRG4,
PRRG3,,PRRG3,PRRG3,PRRG3,
METTL16,,METTL16,METTL16,METTL16,
POGLUT2,,POGLUT2,POGLUT2,POGLUT2,
DSCC1,,DSCC1,DSCC1,DSCC1,
DCTPP1,,DCTPP1,DCTPP1,DCTPP1,
MLPH,,MLPH,MLPH,MLPH,
ALG12,,ALG12,ALG12,ALG12,
ZNF426,,ZNF426,ZNF426,ZNF426,
TMUB2,,TMUB2,TMUB2,TMUB2,
TRAPPC6A,,TRAPPC6A,TRAPPC6A,TRAPPC6A,
METTL22,,METTL22,METTL22,METTL22,
TAF1D,,TAF1D,TAF1D,TAF1D,
RETREG2,,RETREG2,RETREG2,RETREG2,
DERL1,,DERL1,DERL1,DERL1,
CCDC28B,,CCDC28B,CCDC28B,CCDC28B,
MMP28,,MMP28,MMP28,MMP28,
GNPTAB,,GNPTAB,GNPTAB,GNPTAB,
CRELD2,,CRELD2,CRELD2,CRELD2,
IRX3,,IRX3,IRX3,IRX3,
IRX1,,IRX1,IRX1,IRX1,
MMEL1,,MMEL1,MMEL1,MMEL1,
OR13A1,,OR13A1,OR13A1,OR13A1,
OR4K5,,OR4K5,OR4K5,OR4K5,
OR51G1,,OR51G1,OR51G1,OR51G1,
OR51B4,,OR51B4,OR51B4,OR51B4,
OR51B2,,OR51B2,OR51B2,OR51B2,
ZXDC,,ZXDC,ZXDC,ZXDC,
FCRL2,,FCRL2,FCRL2,FCRL2,
B3GNT4,,B3GNT4,B3GNT4,B3GNT4,
KREMEN2,,KREMEN2,KREMEN2,KREMEN2,
BIRC7,,BIRC7,BIRC7,BIRC7,
OR4K1,,OR4K1,OR4K1,OR4K1,
GCC1,,GCC1,GCC1,GCC1,
CDC73,,CDC73,CDC73,CDC73,
CHPF,,CHPF,CHPF,CHPF,
TCTN1,,TCTN1,TCTN1,TCTN1,
CERS4,,CERS4,CERS4,CERS4,
TANGO6,,TANGO6,TANGO6,TANGO6,
CCNJL,,CCNJL,CCNJL,CCNJL,
HMBOX1,,HMBOX1,HMBOX1,HMBOX1,
GALNT14,,GALNT14,GALNT14,GALNT14,
NDNF,,NDNF,NDNF,NDNF,
TNFAIP8L2,,TNFAIP8L2,TNFAIP8L2,TNFAIP8L2,
OGFRL1,,OGFRL1,OGFRL1,OGFRL1,
OCEL1,,OCEL1,OCEL1,OCEL1,
ARMC7,,ARMC7,ARMC7,ARMC7,
ARSJ,,ARSJ,ARSJ,ARSJ,
BEND5,,BEND5,BEND5,BEND5,
HSPBAP1,,HSPBAP1,HSPBAP1,HSPBAP1,
PARP8,,PARP8,PARP8,PARP8,
ZNF329,,ZNF329,ZNF329,ZNF329,
ZDHHC14,,ZDHHC14,ZDHHC14,ZDHHC14,
ZNF322,,ZNF322,ZNF322,ZNF322,
GALNT12,,GALNT12,GALNT12,GALNT12,
RIOX1,,RIOX1,RIOX1,RIOX1,
ZMAT4,,ZMAT4,ZMAT4,ZMAT4,
PRKRIP1,,PRKRIP1,PRKRIP1,PRKRIP1,
COLGALT1,,COLGALT1,COLGALT1,COLGALT1,
GTDC1,,GTDC1,GTDC1,GTDC1,
AAGAB,,AAGAB,AAGAB,AAGAB,
VPS37B,,VPS37B,VPS37B,VPS37B,
SUV39H2,,SUV39H2,SUV39H2,SUV39H2,
E2F8,,E2F8,E2F8,E2F8,
KCTD17,,KCTD17,KCTD17,KCTD17,
TBC1D17,,TBC1D17,TBC1D17,TBC1D17,
TTLL7,,TTLL7,TTLL7,TTLL7,
DIPK2B,,DIPK2B,DIPK2B,DIPK2B,
LMAN1L,,LMAN1L,LMAN1L,LMAN1L,
ZFAND1,,ZFAND1,ZFAND1,ZFAND1,
ZNF668,,ZNF668,ZNF668,ZNF668,
ELMO3,,ELMO3,ELMO3,ELMO3,
KATNBL1,,KATNBL1,KATNBL1,KATNBL1,
GRTP1,,GRTP1,GRTP1,GRTP1,
ZFHX4,,ZFHX4,ZFHX4,ZFHX4,
MICALL2,,MICALL2,MICALL2,MICALL2,
CCDC82,,CCDC82,CCDC82,CCDC82,
ZNF665,,ZNF665,ZNF665,ZNF665,
CLMN,,CLMN,CLMN,CLMN,
GSDMD,,GSDMD,GSDMD,GSDMD,
ZNF408,,ZNF408,ZNF408,ZNF408,
CARF,,CARF,CARF,CARF,
SHCBP1,,SHCBP1,SHCBP1,SHCBP1,
HHIPL2,,HHIPL2,HHIPL2,HHIPL2,
MOB3B,,MOB3B,MOB3B,MOB3B,
CAMKMT,,CAMKMT,CAMKMT,CAMKMT,
NAA40,,NAA40,NAA40,NAA40,
ZMYM1,,ZMYM1,ZMYM1,ZMYM1,
KDM8,,KDM8,KDM8,KDM8,
GEMIN6,,GEMIN6,GEMIN6,GEMIN6,
PIP4K2C,,PIP4K2C,PIP4K2C,PIP4K2C,
TMC5,,TMC5,TMC5,TMC5,
NHEJ1,,NHEJ1,NHEJ1,NHEJ1,
ZBTB3,,ZBTB3,ZBTB3,ZBTB3,
ZDHHC11,,ZDHHC11,ZDHHC11,ZDHHC11,
TLCD3A,,TLCD3A,TLCD3A,TLCD3A,
TM4SF20,,TM4SF20,TM4SF20,TM4SF20,
SNX22,,SNX22,SNX22,SNX22,
TREML2,,TREML2,TREML2,TREML2,
TCTN2,,TCTN2,TCTN2,TCTN2,
ALG13,,ALG13,ALG13,ALG13,
BAALC,,BAALC,BAALC,BAALC,
RABEP2,,RABEP2,RABEP2,RABEP2,
THSD4,,THSD4,THSD4,THSD4,
RIN3,,RIN3,RIN3,RIN3,
MCMBP,,MCMBP,MCMBP,MCMBP,
ATP8B4,,ATP8B4,ATP8B4,ATP8B4,
CYBRD1,,CYBRD1,CYBRD1,CYBRD1,
NUP85,,NUP85,NUP85,NUP85,
MORN1,,MORN1,MORN1,MORN1,
SETD6,,SETD6,SETD6,SETD6,
NANOG,,NANOG,NANOG,NANOG,
ADM2,,ADM2,ADM2,ADM2,
CNTNAP3,,CNTNAP3,CNTNAP3,CNTNAP3,
PLPPR3,,PLPPR3,PLPPR3,PLPPR3,
SYNDIG1,,SYNDIG1,SYNDIG1,SYNDIG1,
PAQR6,,PAQR6,PAQR6,PAQR6,
DENND1C,,DENND1C,DENND1C,DENND1C,
CEP76,,CEP76,CEP76,CEP76,
JADE1,,JADE1,JADE1,JADE1,
GRHL2,,GRHL2,GRHL2,GRHL2,
SVEP1,,SVEP1,SVEP1,SVEP1,
PLEKHH3,,PLEKHH3,PLEKHH3,PLEKHH3,
RMI1,,RMI1,RMI1,RMI1,
MINDY3,,MINDY3,MINDY3,MINDY3,
TRPM3,,TRPM3,TRPM3,TRPM3,
GPR157,,GPR157,GPR157,GPR157,
PGAP1,,PGAP1,PGAP1,PGAP1,
ADAMTS20,,ADAMTS20,ADAMTS20,ADAMTS20,
ZNF606,,ZNF606,ZNF606,ZNF606,
ZFP2,,ZFP2,ZFP2,ZFP2,
VCPIP1,,VCPIP1,VCPIP1,VCPIP1,
CCDC33,,CCDC33,CCDC33,CCDC33,
RPF1,,RPF1,RPF1,RPF1,
ZNF703,,ZNF703,ZNF703,ZNF703,
SIKE1,,SIKE1,SIKE1,SIKE1,
FRAS1,,FRAS1,FRAS1,FRAS1,
ZC3H12A,,ZC3H12A,ZC3H12A,ZC3H12A,
CENPT,,CENPT,CENPT,CENPT,
MOGAT2,,MOGAT2,MOGAT2,MOGAT2,
CTC1,,CTC1,CTC1,CTC1,
MYCT1,,MYCT1,MYCT1,MYCT1,
ORAI2,,ORAI2,ORAI2,ORAI2,
RUFY1,,RUFY1,RUFY1,RUFY1,
PIGZ,,PIGZ,PIGZ,PIGZ,
ELL3,,ELL3,ELL3,ELL3,
SCUBE1,,SCUBE1,SCUBE1,SCUBE1,
MED28,,MED28,MED28,MED28,
SPHKAP,Signaling > cAMP-PKA signaling,SPHKAP,SPHKAP,SPHKAP,Signaling > cAMP-PKA signaling
PDGFD,,PDGFD,PDGFD,PDGFD,
KLHL15,,KLHL15,KLHL15,KLHL15,
CXXC4,,CXXC4,CXXC4,CXXC4,
SP6,,SP6,SP6,SP6,
WNT10A,,WNT10A,WNT10A,WNT10A,
ULBP1,,ULBP1,ULBP1,ULBP1,
ADAM33,,ADAM33,ADAM33,ADAM33,
BPIFB2,,BPIFB2,BPIFB2,BPIFB2,
PDCD1LG2,,PDCD1LG2,PDCD1LG2,PDCD1LG2,
CD276,,CD276,CD276,CD276,
AKNA,,AKNA,AKNA,AKNA,
PBX4,,PBX4,PBX4,PBX4,
TTYH3,,TTYH3,TTYH3,TTYH3,
THSD7B,,THSD7B,THSD7B,THSD7B,
MPIG6B,,MPIG6B,MPIG6B,MPIG6B,
PRR3,,PRR3,PRR3,PRR3,
ITIH5,,ITIH5,ITIH5,ITIH5,
NDFIP1,,NDFIP1,NDFIP1,NDFIP1,
SPX,,SPX,SPX,SPX,
LIMD2,,LIMD2,LIMD2,LIMD2,
B9D2,,B9D2,B9D2,B9D2,
CEP44,,CEP44,CEP44,CEP44,
BHLHB9,,BHLHB9,BHLHB9,BHLHB9,
ZFP91,,ZFP91,ZFP91,ZFP91,
APOL6,,APOL6,APOL6,APOL6,
APOL3,,APOL3,APOL3,APOL3,
TAS1R2,,TAS1R2,TAS1R2,TAS1R2,
TAS1R1,,TAS1R1,TAS1R1,TAS1R1,
LNPK,,LNPK,LNPK,LNPK,
PRRT1,,PRRT1,PRRT1,PRRT1,
EGFL8,,EGFL8,EGFL8,EGFL8,
WNT5B,,WNT5B,WNT5B,WNT5B,
ZBP1,,ZBP1,ZBP1,ZBP1,
KCNH6,,KCNH6,KCNH6,KCNH6,
COLEC12,,COLEC12,COLEC12,COLEC12,
OR5AC2,,OR5AC2,OR5AC2,OR5AC2,
OR4K15,,OR4K15,OR4K15,OR4K15,
OR8J3,,OR8J3,OR8J3,OR8J3,
OR51G2,,OR51G2,OR51G2,OR51G2,
OR51E2,,OR51E2,OR51E2,OR51E2,
OR4P4,,OR4P4,OR4P4,OR4P4,
OR4C15,,OR4C15,OR4C15,OR4C15,
OR4A16,,OR4A16,OR4A16,OR4A16,
OR4A15,,OR4A15,OR4A15,OR4A15,
OR10W1,,OR10W1,OR10W1,OR10W1,
OR6N2,,OR6N2,OR6N2,OR6N2,
OR6K2,,OR6K2,OR6K2,OR6K2,
OR2L5,,OR2L5,OR2L5,OR2L5,
PTDSS2,,PTDSS2,PTDSS2,PTDSS2,
GPR63,,GPR63,GPR63,GPR63,
SYNC,,SYNC,SYNC,SYNC,
HM13,,HM13,HM13,HM13,
STMN4,,STMN4,STMN4,STMN4,
CYRIA,,CYRIA,CYRIA,CYRIA,
YIPF5,,YIPF5,YIPF5,YIPF5,
NDEL1,,NDEL1,NDEL1,NDEL1,
CCDC130,,CCDC130,CCDC130,CCDC130,
URM1,,URM1,URM1,URM1,
NECTIN4,,NECTIN4,NECTIN4,NECTIN4,
FIP1L1,,FIP1L1,FIP1L1,FIP1L1,
CAB39L,,CAB39L,CAB39L,CAB39L,
ITM2C,,ITM2C,ITM2C,ITM2C,
KAZALD1,,KAZALD1,KAZALD1,KAZALD1,
UNC93B1,,UNC93B1,UNC93B1,UNC93B1,
DEFB126,,DEFB126,DEFB126,DEFB126,
TSC22D4,,TSC22D4,TSC22D4,TSC22D4,
CCNL2,,CCNL2,CCNL2,CCNL2,
OR5V1,,OR5V1,OR5V1,OR5V1,
OR2B2,,OR2B2,OR2B2,OR2B2,
PPP1R14C,,PPP1R14C,PPP1R14C,PPP1R14C,
ADAMTS12,,ADAMTS12,ADAMTS12,ADAMTS12,
OR12D3,,OR12D3,OR12D3,OR12D3,
NETO2,,NETO2,NETO2,NETO2,
NETO1,,NETO1,NETO1,NETO1,
VANGL1,,VANGL1,VANGL1,VANGL1,
RNF146,,RNF146,RNF146,RNF146,
SPRY4,,SPRY4,SPRY4,SPRY4,
ST6GALNAC5,,ST6GALNAC5,ST6GALNAC5,ST6GALNAC5,
SHARPIN,,SHARPIN,SHARPIN,SHARPIN,
ELOVL3,,ELOVL3,ELOVL3,ELOVL3,
INO80B,,INO80B,INO80B,INO80B,
GSG1,,GSG1,GSG1,GSG1,
APH1B,,APH1B,APH1B,APH1B,
GLT8D2,,GLT8D2,GLT8D2,GLT8D2,
SCRT1,,SCRT1,SCRT1,SCRT1,
CHST9,,CHST9,CHST9,CHST9,
NUF2,,NUF2,NUF2,NUF2,
RTBDN,,RTBDN,RTBDN,RTBDN,
COG3,,COG3,COG3,COG3,
GPR101,,GPR101,GPR101,GPR101,
TAAR8,,TAAR8,TAAR8,TAAR8,
MFRP,,MFRP,MFRP,MFRP,
TMUB1,,TMUB1,TMUB1,TMUB1,
THAP2,,THAP2,THAP2,THAP2,
RTP3,,RTP3,RTP3,RTP3,
TMEM47,,TMEM47,TMEM47,TMEM47,
ZMIZ2,,ZMIZ2,ZMIZ2,ZMIZ2,
RAMAC,,RAMAC,RAMAC,RAMAC,
MS4A8,,MS4A8,MS4A8,MS4A8,
PARP9,,PARP9,PARP9,PARP9,
CRISPLD1,,CRISPLD1,CRISPLD1,CRISPLD1,
SLC4A9,,SLC4A9,SLC4A9,SLC4A9,
JAM3,,JAM3,JAM3,JAM3,
CRISPLD2,,CRISPLD2,CRISPLD2,CRISPLD2,
INHBE,,INHBE,INHBE,INHBE,
TFAP2D,,TFAP2D,TFAP2D,TFAP2D,
L3MBTL2,,L3MBTL2,L3MBTL2,L3MBTL2,
TAS1R3,,TAS1R3,TAS1R3,TAS1R3,
FRMD8,,FRMD8,FRMD8,FRMD8,
KCNK16,,KCNK16,KCNK16,KCNK16,
SYT15,,SYT15,SYT15,SYT15,
ESYT3,,ESYT3,ESYT3,ESYT3,
SYT16,,SYT16,SYT16,SYT16,
SETDB2,,SETDB2,SETDB2,SETDB2,
ANGPTL6,,ANGPTL6,ANGPTL6,ANGPTL6,
KLF16,,KLF16,KLF16,KLF16,
TAF3,,TAF3,TAF3,TAF3,
TBC1D10A,,TBC1D10A,TBC1D10A,TBC1D10A,
USHBP1,,USHBP1,USHBP1,USHBP1,
CDCA7,,CDCA7,CDCA7,CDCA7,
MIXL1,,MIXL1,MIXL1,MIXL1,
TSPAN10,,TSPAN10,TSPAN10,TSPAN10,
KCTD10,,KCTD10,KCTD10,KCTD10,
SPATA16,,SPATA16,SPATA16,SPATA16,
SPRTN,,SPRTN,SPRTN,SPRTN,
HDAC10,,HDAC10,HDAC10,HDAC10,
RASSF4,,RASSF4,RASSF4,RASSF4,
EIF2A,,EIF2A,EIF2A,EIF2A,
TM2D1,,TM2D1,TM2D1,TM2D1,
FCAMR,,FCAMR,FCAMR,FCAMR,
SLC4A11,,SLC4A11,SLC4A11,SLC4A11,
FAM172A,,FAM172A,FAM172A,FAM172A,
REG4,,REG4,REG4,REG4,
KREMEN1,,KREMEN1,KREMEN1,KREMEN1,
B3GNT5,,B3GNT5,B3GNT5,B3GNT5,
EMILIN2,,EMILIN2,EMILIN2,EMILIN2,
MND1,,MND1,MND1,MND1,
TMEM222,,TMEM222,TMEM222,TMEM222,
TEX35,,TEX35,TEX35,TEX35,
SLC10A7,,SLC10A7,SLC10A7,SLC10A7,
NSRP1,,NSRP1,NSRP1,NSRP1,
SLC41A2,,SLC41A2,SLC41A2,SLC41A2,
KAT8,,KAT8,KAT8,KAT8,
PPP1R1B,,PPP1R1B,PPP1R1B,PPP1R1B,
RPF2,,RPF2,RPF2,RPF2,
ANTXR1,,ANTXR1,ANTXR1,ANTXR1,
LOXL4,,LOXL4,LOXL4,LOXL4,
ZCCHC7,,ZCCHC7,ZCCHC7,ZCCHC7,
SETD3,,SETD3,SETD3,SETD3,
ZNF541,,ZNF541,ZNF541,ZNF541,
IQCG,,IQCG,IQCG,IQCG,
ZMYND15,,ZMYND15,ZMYND15,ZMYND15,
MAF1,,MAF1,MAF1,MAF1,
ATP13A4,,ATP13A4,ATP13A4,ATP13A4,
ZDHHC18,,ZDHHC18,ZDHHC18,ZDHHC18,
FLYWCH1,,FLYWCH1,FLYWCH1,FLYWCH1,
POLR3GL,,POLR3GL,POLR3GL,POLR3GL,
ING5,,ING5,ING5,ING5,
GINS4,,GINS4,GINS4,GINS4,
LLPH,,LLPH,LLPH,LLPH,
DDI2,,DDI2,DDI2,DDI2,
PYM1,,PYM1,PYM1,PYM1,
PDCD2L,,PDCD2L,PDCD2L,PDCD2L,
ZNF397,,ZNF397,ZNF397,ZNF397,
BRMS1L,,BRMS1L,BRMS1L,BRMS1L,
MON1A,,MON1A,MON1A,MON1A,
ZBED3,,ZBED3,ZBED3,ZBED3,
LZIC,,LZIC,LZIC,LZIC,
HVCN1,,HVCN1,HVCN1,HVCN1,
DYDC2,,DYDC2,DYDC2,DYDC2,
ELOF1,,ELOF1,ELOF1,ELOF1,
COG8,,COG8,COG8,COG8,
HPS3,,HPS3,HPS3,HPS3,
ARFGAP2,,ARFGAP2,ARFGAP2,ARFGAP2,
HOOK3,,HOOK3,HOOK3,HOOK3,
ECRG4,,ECRG4,ECRG4,ECRG4,
PROK1,,PROK1,PROK1,PROK1,
ADGRA1,,ADGRA1,ADGRA1,ADGRA1,
HHIPL1,,HHIPL1,HHIPL1,HHIPL1,
MAML2,,MAML2,MAML2,MAML2,
ABLIM2,,ABLIM2,ABLIM2,ABLIM2,
PHYHIPL,,PHYHIPL,PHYHIPL,PHYHIPL,
LCOR,,LCOR,LCOR,LCOR,
SLX4,,SLX4,SLX4,SLX4,
MEGF11,,MEGF11,MEGF11,MEGF11,
MEGF10,,MEGF10,MEGF10,MEGF10,
JPH4,,JPH4,JPH4,JPH4,
NKX6-2,,NKX6-2,NKX6-2,NKX6-2,
PLPP5,,PLPP5,PLPP5,PLPP5,
GHDC,,GHDC,GHDC,GHDC,
ACTRT3,,ACTRT3,ACTRT3,ACTRT3,
CNFN,,CNFN,CNFN,CNFN,
ACRBP,,ACRBP,ACRBP,ACRBP,
ZC3H8,,ZC3H8,ZC3H8,ZC3H8,
SRRM4,,SRRM4,SRRM4,SRRM4,
KBTBD8,,KBTBD8,KBTBD8,KBTBD8,
PGBD1,,PGBD1,PGBD1,PGBD1,
MAK16,,MAK16,MAK16,MAK16,
LYZL1,,LYZL1,LYZL1,LYZL1,
COL25A1,,COL25A1,COL25A1,COL25A1,
GNPTG,,GNPTG,GNPTG,GNPTG,
ZBTB37,,ZBTB37,ZBTB37,ZBTB37,
NT5C1A,,NT5C1A,NT5C1A,NT5C1A,
ST6GAL2,,ST6GAL2,ST6GAL2,ST6GAL2,
KIRREL3,,KIRREL3,KIRREL3,KIRREL3,
FNDC1,,FNDC1,FNDC1,FNDC1,
NTNG2,,NTNG2,NTNG2,NTNG2,
KISS1R,,KISS1R,KISS1R,KISS1R,
GPR174,,GPR174,GPR174,GPR174,
IL1F10,,IL1F10,IL1F10,IL1F10,
EBPL,,EBPL,EBPL,EBPL,
SPINK7,,SPINK7,SPINK7,SPINK7,
ADGRE3,,ADGRE3,ADGRE3,ADGRE3,
GLIS2,,GLIS2,GLIS2,GLIS2,
MYPN,,MYPN,MYPN,MYPN,
RETNLB,,RETNLB,RETNLB,RETNLB,
FAM126A,,FAM126A,FAM126A,FAM126A,
GJA10,,GJA10,GJA10,GJA10,
LOXL3,,LOXL3,LOXL3,LOXL3,
HDGFL2,,HDGFL2,HDGFL2,HDGFL2,
PIGO,,PIGO,PIGO,PIGO,
FUT10,,FUT10,FUT10,FUT10,
B3GNT9,,B3GNT9,B3GNT9,B3GNT9,
NAA11,,NAA11,NAA11,NAA11,
KMT5C,,KMT5C,KMT5C,KMT5C,
FAM220A,,FAM220A,FAM220A,FAM220A,
BUD13,,BUD13,BUD13,BUD13,
SFT2D3,,SFT2D3,SFT2D3,SFT2D3,
ZNF496,,ZNF496,ZNF496,ZNF496,
PHF5A,,PHF5A,PHF5A,PHF5A,
ZNF503,,ZNF503,ZNF503,ZNF503,
KLHL22,,KLHL22,KLHL22,KLHL22,
RIOX2,,RIOX2,RIOX2,RIOX2,
TMEM25,,TMEM25,TMEM25,TMEM25,
HAVCR2,,HAVCR2,HAVCR2,HAVCR2,
RSPO3,,RSPO3,RSPO3,RSPO3,
ZC3H10,,ZC3H10,ZC3H10,ZC3H10,
PARP10,,PARP10,PARP10,PARP10,
ORAI1,,ORAI1,ORAI1,ORAI1,
ZBTB45,,ZBTB45,ZBTB45,ZBTB45,
POMGNT2,,POMGNT2,POMGNT2,POMGNT2,
